"speciesKey"	"species"	"decimalLatitude"	"decimalLongitude"	"kingdom"	"phylum"	"class"
"22681"	1311477	"Vespa velutina"	51.53006	14.000047	"Animalia"	"Arthropoda"	"Insecta"
"22686"	1311477	"Vespa velutina"	51.384853	12.418428	"Animalia"	"Arthropoda"	"Insecta"
"22701"	1311477	"Vespa velutina"	49.942345	7.040747	"Animalia"	"Arthropoda"	"Insecta"
"22723"	1311477	"Vespa velutina"	52.272488	11.465111	"Animalia"	"Arthropoda"	"Insecta"
"22729"	1311477	"Vespa velutina"	54.067722	13.957596	"Animalia"	"Arthropoda"	"Insecta"
"22746"	1311477	"Vespa velutina"	50.612907	10.685989	"Animalia"	"Arthropoda"	"Insecta"
"22781"	1311477	"Vespa velutina"	52.397579	7.306154	"Animalia"	"Arthropoda"	"Insecta"
"22790"	1311477	"Vespa velutina"	51.729198	14.300295	"Animalia"	"Arthropoda"	"Insecta"
"22791"	1311477	"Vespa velutina"	48.847717	10.101266	"Animalia"	"Arthropoda"	"Insecta"
"22813"	1311477	"Vespa velutina"	54.306786	13.044683	"Animalia"	"Arthropoda"	"Insecta"
"22816"	1311477	"Vespa velutina"	51.713203	8.723661	"Animalia"	"Arthropoda"	"Insecta"
"22837"	1311477	"Vespa velutina"	49.306705	10.742056	"Animalia"	"Arthropoda"	"Insecta"
"22850"	1311477	"Vespa velutina"	53.005184	9.041163	"Animalia"	"Arthropoda"	"Insecta"
"22852"	1311477	"Vespa velutina"	47.193501	13.096543	"Animalia"	"Arthropoda"	"Insecta"
"22862"	1311477	"Vespa velutina"	52.305038	8.213776	"Animalia"	"Arthropoda"	"Insecta"
"22873"	1311477	"Vespa velutina"	47.268795	11.475327	"Animalia"	"Arthropoda"	"Insecta"
"22917"	1311477	"Vespa velutina"	51.211758	6.97657	"Animalia"	"Arthropoda"	"Insecta"
"22939"	1311477	"Vespa velutina"	54.668919	9.932072	"Animalia"	"Arthropoda"	"Insecta"
"22949"	1311477	"Vespa velutina"	48.292618	7.824401	"Animalia"	"Arthropoda"	"Insecta"
